Segment,Brand,Name,Price_per_Pound,Cupping_Notes,Rating,Year,Month
3_medium_delicate_distilled,Notch Coffee,Sumatra Boru Batak,19,"Sweetly pungent, complexly layered. Baker's chocolate, pink grapefruit zest, dried mango, freesia, perique (fermented) tobacco in aroma and cup. Juicy, bright, balanced acidity; full, syrupy mouthfeel. The resonant, richly drying finish has a throughline of baker's chocolate and dried mango, accented by tobacco and spicy floral notes.",94,2017,5
3_medium_delicate_distilled,Notch Coffee,Kenya Marumi AA,18,"Richly sweet-savory, floral-toned. Mulberry, rhododendron, lemon verbena, white peppercorn, roasted cacao nib in aroma and cup. Sweet, rounded acidity; plush, velvety mouthfeel. The resonant finish consolidates to mulberry and roasted cacao nib in the short; notes of white peppercorn return in the long.",93,2017,5
6_dark_chocolate_juicy,Notch Coffee,Competition Espresso,19,"Evaluated as espresso. Deep-toned, balanced, richly sweet. Dark chocolate, cherry blossom, pink grapefruit, coconut, fresh-cut cedar in aroma and small cup. Round, buttery mouthfeel; sweetly tart cedar- and floral-toned finish. Dark chocolate and coconut notes are amplified in three parts milk, supported by pleasant hints of aromatic cedar.",93,2017,5
4_medium_balanced_bright_rich,Caribeans,100% Arabica Coffee from Puerto Rico,34,"Bittersweet but balanced; chocolaty. Dark chocolate, dried fig, raisin, pistachio, fir in aroma and cup. Brisk, dry acidity; smooth but rather lean mouthfeel. Chocolate and pistachio carry into a surprisingly sweet though gently drying finish.",87,2017,5
1_light_geisha,Dragonfly Coffee Roasters,Gesha Village Estate Bench Maji Gesha G1,70,"Delicate, intensely sweet, floral-toned. Star jasmine, tangerine, roasted cacao nib, maple syrup, myrrh in aroma and cup. Lively, sweet-tart acidity; plush, satiny mouthfeel. The resonant finish carries through on the promise of the aroma with deep floral and bright citrus tones, both grounded by hints of cocoa.",95,2017,5
3_medium_delicate_distilled,Dragonfly Coffee Roasters,Pink Bourbon Colombia Cauca,24,"Richly sweet-savory. Baker's chocolate, vanilla, thyme, pomegranate, spicy oak in aroma and cup. Brisk, sweetly-tart acidity; crisp, velvety mouthfeel. The richly drying finish consolidates around notes of pomegranate and thyme in the short, rounding to baker's chocolate in the long.",91,2017,5
5_medium_fruity_mellow,Revel Coffee,Barrel Proof,23,"A grapey, fruit-saturated alcohol dominates, big and startling, though more grappa-like than whiskey-like. Pear, grappa, white oak, cocoa, raisin in aroma and cup. The acidity is essentially unreadable in coffee terms given the impact of the big, grapey alcohol sensation. The mouthfeel is light and pleasingly buoyant. The fruity alcohol dominates in a very sweet finish.",92,2017,5
3_medium_delicate_distilled,Reprise Coffee Roasters,Barrel-Aged Coffee,26,"Delicate, sweet, subtly structured. The alcohol reads more as brandy or cabernet than rum, but pleasingly so. Also cocoa powder, sweet wood, vanilla, dried strawberry in aroma and cup. Light-footed, sweet-toned acidity; very light but distinctly satiny mouthfeel. Rich, sweet, quietly flavor-saturated finish.",92,2017,5
5_medium_fruity_mellow,San Francisco Bay Coffee,Wine-Barrel-Aged Ethiopia,26,"Very sweet; quietly layered complexity. Dried jasmine, alcohol-toned raspberry, roasted cacao nib, scorched oak, grapefruit zest in aroma and cup. Light-footed, delicate acidity; light, silky mouthfeel. Floral and raspberry notes carry into a rather dry, roast-dominated finish.",91,2017,5
2_light_citrus_silky,Modern Times Coffee,Bourbon-Barrel-Aged Kenya Baragu,40,"Deeply sweet with a resonantly savory edge; intense and original. Peach, lavender, coconut and oak are complicated by a pleasing alcohol suggestion that no doubt reflects the bourbon-barrel conditioning, but in the sensory context of the coffee reads more brandy- or wine-like. Round, vibrant acidity; satiny mouthfeel. The peach note in particular carries into a flavor-saturated finish.",94,2017,5
2_light_citrus_silky,Water Avenue Coffee,Pinot Noir-Aged El Salvador,29,"Sweetly bright, subtly wine-toned. Tangerine zest, oak, honeysuckle, cocoa powder, a hint of wine in aroma and cup. Gentle, roundly bright acidity; lightly satiny, lively mouthfeel. Wine/grape suggestions carry into an oaky but very sweet-toned finish.",93,2017,5
4_medium_balanced_bright_rich,Big Island Coffee Roasters,Puna Theobroma Coffee,48,"Bittersweet, powerfully cocoa- and floral-toned. Intense plumeria-like flowers, cocoa, lightly scorched almond, pineapple guava in aroma and cup. The acidity is tart and dry; the mouthfeel full and syrupy in texture, though quite drying. Surprisingly sweet in the finish, with persistent chocolate and guava notes.",92,2017,5
2_light_citrus_silky,Equator Coffees & Teas,Aged Sumatra Ulos Batak Peaberry,24,"Complexly structured; tart, sweet-savory, balanced. Mango, cedar, molasses, fresh pipe tobacco, grapefruit zest in aroma and cup. Gently crisp acidity; plush, syrupy mouthfeel. Tobacco, cedar and the mango-like fruit carry into a quiet finish.",94,2017,5
6_dark_chocolate_juicy,Paradise Roasters,Espresso Havana,22,"Evaluated as espresso. Deeply sweet, floral- and cocoa-toned. Dark chocolate, narcissus, gently scorched cedar, plum, blood orange zest in aroma and small cup. Smooth, satiny mouthfeel. The gently drying finish leads with citrus zest and dark chocolate in the short and concludes with an intriguing, almost incense-like smoke-toned cedar in the long. Chocolate notes bloom in three parts milk, supported by narcissus and plum.",93,2017,5
3_medium_delicate_distilled,Espresso Republic,Static Rio Negro Colombia,22,"Delicate; crisply sweet-savory. Lemon blossom, roasted cacao nib, pink peppercorn, fresh fennel, plum in aroma and cup. Brisk, sweet-tart acidity; satiny-smooth mouthfeel. The quiet finish consolidates to cocoa-toned citrus notes in the short with suggestions of fresh fennel in the long.",92,2017,5
4_medium_balanced_bright_rich,Espresso Republic,Static Santa Luzia Brazil,20,"Sweetly spice-toned. Gardenia, baker's chocolate, green grape, pecan, black peppercorn in aroma and cup. Brisk, sweet-tart acidity; delicate, silky mouthfeel. The gently drying finish consolidates to notes of pecan and baker's chocolate with hints of gardenia.",88,2017,5
1_light_geisha,Amavida Coffee and Tea,Ninety Plus Estate Panama Gesha Lycello,159,"Delicate yet richly complex, deeply sweet. Maple syrup, tangerine, jasmine, frankincense, roasted cacao nib in aroma and cup. Crisp, sweetly tart acidity; full, syrupy mouthfeel. The round, resonant finish consolidates to notes of tangerine and cacao.",93,2017,5
6_dark_chocolate_juicy,Jackrabbit Java,Costa Rica Microlot White Honey,16,"Sweetly pungent, roast-rounded. Dark chocolate, floral vanilla, orange zest, scorched cedar in aroma and cup. Pungent, bittersweet acidity, lightly syrupy mouthfeel. Bittersweet but resonant in the finish: Chocolate and orange dominate in a bittersweet but resonant finish.",90,2017,4
6_dark_chocolate_juicy,Jackrabbit Java,Hopper Blend Espresso,16,"Evaluated as espresso. Sweetly roast-toned and crisply chocolaty. Dark chocolate, gently scorched cedar, narcissus-like flowers, raisin in aroma and small cup. Full, syrupy mouthfeel. Rich short finish, rather drying in the long. Dominates milk with a raisin- and floral-nuanced chocolate.",91,2017,4
3_medium_delicate_distilled,Branch Street Coffee Roasters,Peru Rayos del Sol Single Farm,21,"Crisply sweet, spice-toned. Praline, cedar, bakerês chocolate, fig, clove in aroma and cup. Soft, bittersweet acidity; richly drying, syrupy mouthfeel. The deep-toned, resonant finish consolidates to fig and cedar in the short, with a suggestions of praline in the long.",91,2017,4
6_dark_chocolate_juicy,The WestBean Coffee Roasters,Ethiopia Tawo Mok,32,"Deeply and sweetly pungent. Ripe blueberry, dark chocolate, calla lily, orange zest, aromatic sandalwood in aroma and cup. Quiet, gentle acidity; silky mouthfeel. The ripe blueberry and dark chocolate notes carry with resonance into the short finish, while richly drying sandalwood tones dominate the long.",92,2017,4
6_dark_chocolate_juicy,Temple Coffee and Tea,Dharma Blend Espresso,22,"Evaluated as espresso. Dark chocolate, jasmine, rosewood, pear, blood orange zest in aroma and small cup. Delicate, syrupy mouthfeel; the finish consolidates to pear and dark chocolate in the short and aromatic rosewood in the long. In three parts milk, jasmine notes return in full spicy-floral splendor, while chocolate carries long into the finish.",93,2017,4
